id,log_feature,volume
84,FT 201,2
84,FT 80,7
84,FT 82,1
84,FT 82,3
84,FT 56,1
84,FT 80,1
85,FT 203,1
85,FT 82,5
85,FT 80,3
85,FT 80,1
85,FT 82,1
85,FT 203,4
85,FT 80,3
85,FT 82,3
86,FT 201,4
86,FT 80,2
86,FT 203,1
86,FT 201,1
87,FT 82,2
87,FT 82,4
87,FT 82,2
87,FT 80,1
88,FT 201,1
88,FT 82,2
88,FT 80,2
88,FT 68,1
88,FT 167,10
88,FT 51,10
88,FT 51,46
88,FT 167,48
88,FT 228,3
88,FT 230,3
89,FT 308,3
89,FT 310,4
89,FT 134,1
89,FT 228,3
89,FT 230,3
89,FT 310,3
89,FT 301,1
89,FT 221,1
89,FT 308,3
89,FT 219,1
90,FT 230,1
90,FT 228,1
90,FT 310,1
90,FT 308,1
90,FT 307,1
90,FT 312,1
90,FT 232,1
90,FT 227,1
90,FT 301,1
90,FT 219,1
90,FT 221,1
90,FT 134,1
90,FT 160,1
90,FT 309,1
91,FT 229,1
91,FT 181,1
91,FT 308,1
91,FT 312,2
91,FT 307,1
91,FT 230,1
92,FT 228,1
92,FT 232,1
93,FT 310,1
93,FT 312,2
93,FT 232,2
94,FT 307,2
94,FT 227,3
95,FT 232,1
95,FT 307,1
96,FT 312,1
96,FT 232,2
97,FT 227,1
97,FT 312,1
97,FT 312,2
97,FT 232,2
97,FT 307,1
97,FT 312,1
97,FT 227,1
97,FT 307,1
98,FT 308,1
98,FT 232,1
98,FT 309,1
98,FT 229,1
98,FT 228,1
99,FT 312,3
100,FT 307,1
100,FT 227,1
101,FT 232,3
101,FT 312,3
102,FT 307,1
102,FT 232,2
103,FT 314,2
103,FT 307,1
103,FT 313,1
103,FT 234,1
104,FT 312,1
104,FT 309,1
105,FT 227,1
105,FT 232,1
106,FT 312,1
106,FT 307,1
107,FT 307,1
107,FT 312,2
107,FT 232,1
107,FT 232,1
107,FT 312,1
108,FT 234,1
108,FT 314,1
109,FT 312,2
109,FT 227,2
110,FT 232,1
110,FT 307,1
110,FT 232,1
110,FT 307,1
111,FT 312,2
111,FT 227,1
111,FT 312,1
112,FT 312,1
112,FT 232,1
113,FT 227,1
113,FT 312,1
113,FT 233,1
113,FT 307,1
114,FT 234,1
114,FT 313,1
115,FT 314,1
116,FT 307,2
116,FT 312,2
116,FT 232,1
117,FT 312,3
117,FT 307,2
118,FT 227,1
118,FT 307,2
118,FT 232,5
119,FT 312,5
119,FT 227,3
120,FT 309,1
120,FT 312,2
121,FT 307,1
121,FT 229,1
122,FT 232,2
122,FT 307,14
122,FT 312,1
123,FT 227,15
123,FT 232,7
123,FT 227,5
123,FT 312,8
124,FT 307,7
124,FT 232,9
125,FT 312,8
126,FT 232,13
126,FT 227,3
126,FT 307,2
126,FT 312,13
127,FT 227,11
128,FT 307,4
129,FT 232,29
129,FT 227,2
129,FT 312,27
130,FT 307,19
130,FT 232,2
130,FT 227,11
130,FT 307,14
131,FT 219,1
131,FT 68,1
132,FT 84,1
133,FT 167,1
133,FT 51,1
134,FT 134,1
134,FT 167,1
134,FT 84,1
134,FT 51,1
134,FT 205,1
134,FT 219,1
135,FT 134,1
136,FT 219,1
136,FT 219,1
137,FT 134,2
137,FT 219,1
138,FT 134,1
138,FT 134,2
138,FT 219,2
138,FT 219,1
138,FT 134,1
138,FT 134,2
138,FT 219,1
138,FT 134,1
138,FT 219,1
139,FT 134,2
139,FT 219,2
139,FT 134,1
139,FT 219,1
139,FT 134,1
140,FT 219,1
140,FT 134,1
140,FT 68,1
140,FT 54,1
140,FT 170,2
140,FT 68,1
140,FT 170,1
141,FT 54,1
142,FT 219,1
142,FT 206,1
143,FT 15,6
143,FT 134,2
144,FT 182,1
145,FT 170,7
146,FT 149,6
146,FT 170,1
146,FT 54,2
146,FT 170,2
146,FT 54,3
147,FT 170,1
148,FT 182,1
148,FT 62,1
148,FT 182,1
148,FT 54,4
149,FT 54,5
149,FT 170,1
150,FT 201,6
150,FT 80,6
150,FT 80,3
150,FT 201,2
151,FT 80,5
152,FT 201,5
153,FT 80,7
153,FT 201,2
154,FT 80,2
154,FT 201,5
155,FT 201,1
155,FT 80,2
155,FT 201,11
156,FT 80,11
156,FT 201,3
156,FT 80,3
156,FT 80,4
157,FT 201,5
157,FT 201,10
158,FT 80,6
158,FT 80,2
158,FT 80,2
158,FT 201,1
158,FT 201,1
158,FT 80,3
158,FT 80,1
158,FT 201,1
158,FT 80,1
158,FT 134,1
159,FT 219,1
159,FT 201,2
159,FT 80,3
159,FT 201,3
159,FT 80,2
159,FT 201,1
160,FT 80,3
160,FT 80,6
161,FT 201,12
161,FT 80,16
162,FT 201,21
163,FT 80,1
164,FT 201,1
164,FT 201,2
165,FT 80,1
165,FT 201,3
166,FT 80,4
166,FT 63,4
167,FT 183,4
167,FT 80,5
168,FT 80,6
168,FT 201,6
169,FT 80,6
169,FT 80,6
169,FT 201,3
169,FT 80,2
169,FT 201,2
170,FT 201,27
170,FT 111,2
171,FT 80,47
171,FT 111,3
171,FT 80,37
171,FT 201,52
172,FT 2,1
172,FT 80,5
172,FT 137,1
173,FT 201,10
173,FT 82,2
173,FT 203,2
174,FT 82,2
174,FT 80,1
174,FT 201,2
174,FT 201,1
174,FT 80,1
174,FT 80,3
175,FT 80,1
175,FT 80,9
176,FT 201,3
176,FT 80,4
177,FT 80,2
177,FT 183,1
177,FT 201,1
177,FT 80,3
177,FT 201,2
178,FT 80,7
178,FT 82,51
178,FT 203,7
179,FT 172,1
179,FT 82,24
180,FT 203,15
180,FT 56,1
181,FT 80,2
181,FT 201,1
181,FT 384,2
181,FT 203,2
182,FT 71,4
182,FT 82,4
183,FT 193,3
183,FT 299,2
183,FT 80,1
184,FT 203,6
184,FT 82,21
184,FT 203,1
184,FT 80,9
184,FT 201,2
184,FT 82,16
185,FT 82,23
185,FT 203,10
185,FT 203,6
186,FT 82,12
186,FT 82,36
186,FT 203,28
187,FT 82,8
187,FT 203,6
187,FT 71,3
187,FT 193,3
188,FT 203,6
189,FT 82,6
189,FT 203,9
190,FT 82,15
190,FT 80,1
191,FT 82,40
191,FT 203,4
192,FT 203,4
192,FT 82,10
193,FT 82,4
193,FT 201,4
194,FT 203,4
194,FT 80,3
195,FT 80,12
196,FT 82,18
196,FT 203,4
196,FT 201,4
196,FT 82,8
197,FT 203,2
197,FT 82,8
197,FT 203,4
197,FT 193,1
198,FT 71,1
198,FT 71,3
199,FT 203,4
199,FT 193,2
200,FT 82,10
201,FT 82,8
201,FT 203,9
201,FT 80,4
201,FT 82,14
202,FT 201,3
202,FT 203,10
203,FT 384,1
203,FT 299,1
204,FT 82,2
204,FT 203,23
205,FT 201,5
205,FT 82,26
206,FT 80,4
206,FT 203,3
206,FT 201,2
207,FT 80,2
207,FT 82,10
208,FT 82,10
208,FT 203,8
209,FT 82,8
209,FT 203,6
209,FT 203,18
209,FT 82,20
210,FT 80,6
210,FT 203,23
211,FT 82,55
211,FT 201,5
212,FT 201,2
212,FT 80,1
212,FT 82,26
213,FT 203,7
214,FT 203,20
214,FT 80,2
214,FT 82,52
214,FT 201,2
215,FT 82,22
215,FT 203,14
216,FT 82,16
216,FT 203,13
217,FT 80,3
217,FT 201,5
218,FT 203,19
218,FT 80,2
219,FT 201,2
219,FT 82,27
219,FT 203,3
219,FT 82,4
219,FT 82,1
219,FT 203,1
220,FT 82,6
220,FT 71,1
220,FT 82,12
221,FT 203,3
221,FT 203,4
222,FT 82,2
223,FT 82,18
223,FT 203,10
223,FT 203,4
223,FT 82,10
223,FT 80,3
223,FT 82,27
224,FT 203,5
224,FT 203,3
224,FT 82,5
224,FT 80,2
225,FT 201,2
225,FT 82,4
225,FT 203,4
225,FT 82,6
225,FT 201,2
225,FT 80,2
226,FT 203,4
226,FT 82,24
226,FT 203,16
226,FT 80,3
227,FT 82,11
227,FT 203,7
228,FT 80,11
228,FT 201,12
229,FT 82,17
230,FT 203,11
231,FT 82,15
231,FT 203,7
232,FT 203,29
233,FT 82,66
233,FT 219,1
233,FT 203,6
233,FT 134,1
233,FT 82,6
233,FT 71,1
234,FT 80,5
235,FT 193,1
235,FT 82,13
235,FT 203,8
236,FT 201,4
236,FT 299,3
236,FT 71,9
236,FT 82,6
237,FT 203,2
237,FT 193,15
238,FT 384,4
239,FT 80,2
239,FT 201,2
239,FT 82,8
239,FT 203,5
239,FT 71,1
239,FT 203,32
240,FT 82,66
240,FT 80,13
240,FT 201,11
240,FT 203,10
240,FT 82,16
240,FT 203,2
241,FT 82,4
241,FT 203,2
242,FT 82,2
242,FT 80,1
242,FT 201,1
242,FT 82,2
243,FT 201,1
243,FT 82,18
243,FT 80,2
243,FT 203,6
243,FT 80,21
244,FT 82,6
244,FT 201,21
245,FT 203,3
245,FT 82,25
245,FT 203,5
245,FT 80,5
245,FT 201,5
246,FT 80,13
247,FT 201,16
247,FT 203,13
248,FT 82,14
248,FT 82,4
248,FT 203,4
248,FT 201,3
249,FT 82,6
249,FT 80,4
249,FT 193,1
250,FT 82,33
250,FT 385,1
250,FT 201,2
250,FT 80,4
250,FT 203,9
250,FT 82,6
250,FT 80,1
250,FT 203,5
250,FT 82,16
250,FT 82,63
250,FT 203,3
250,FT 201,1
250,FT 80,3
250,FT 82,18
250,FT 68,2
250,FT 80,1
251,FT 82,36
251,FT 203,16
252,FT 82,10
252,FT 203,3
252,FT 82,2
252,FT 80,1
253,FT 203,14
253,FT 82,32
254,FT 80,1
254,FT 82,1
255,FT 201,7
255,FT 80,10
256,FT 203,10
256,FT 82,48
256,FT 80,8
256,FT 82,8
256,FT 201,2
257,FT 203,2
257,FT 203,18
257,FT 82,22
257,FT 80,2
258,FT 82,2
258,FT 82,8
258,FT 203,4
258,FT 82,12
259,FT 203,4
259,FT 82,11
260,FT 80,7
261,FT 201,6
262,FT 82,1
262,FT 80,6
262,FT 80,3
262,FT 201,1
263,FT 82,2
263,FT 80,2
264,FT 82,33
264,FT 80,1
264,FT 82,33
264,FT 203,1
264,FT 82,13
264,FT 203,2
265,FT 80,1
265,FT 82,21
266,FT 80,2
266,FT 201,1
266,FT 82,10
266,FT 203,4
266,FT 80,3
266,FT 80,2
267,FT 82,6
267,FT 82,4
268,FT 80,1
268,FT 80,1
268,FT 201,1
268,FT 82,15
268,FT 203,7
268,FT 80,3
268,FT 82,7
268,FT 201,1
269,FT 80,1
270,FT 82,6
270,FT 82,56
270,FT 80,16
270,FT 203,5
270,FT 201,3
271,FT 82,3
271,FT 82,4
272,FT 80,1
272,FT 203,2
272,FT 80,2
273,FT 203,4
273,FT 82,12
274,FT 201,2
274,FT 203,1
275,FT 82,14
275,FT 80,4
275,FT 82,8
275,FT 82,4
275,FT 80,4
276,FT 71,3
276,FT 203,15
277,FT 80,1
277,FT 193,3
278,FT 82,38
278,FT 203,28
279,FT 71,3
279,FT 193,2
280,FT 82,40
280,FT 82,12
280,FT 80,1
280,FT 203,4
280,FT 203,2
280,FT 82,32
281,FT 80,2
282,FT 203,1
282,FT 80,5
283,FT 82,21
283,FT 82,30
283,FT 203,19
283,FT 80,2
283,FT 82,4
283,FT 82,46
284,FT 80,1
284,FT 82,24
284,FT 203,4
284,FT 80,3
284,FT 82,5
284,FT 201,1
284,FT 203,3
284,FT 203,3
284,FT 82,50
285,FT 80,1
285,FT 80,1
285,FT 82,6
285,FT 300,1
285,FT 80,2
285,FT 386,1
286,FT 203,2
286,FT 82,26
286,FT 201,1
286,FT 80,5
286,FT 80,1
286,FT 82,9
287,FT 203,3
288,FT 80,1
288,FT 203,2
288,FT 82,11
288,FT 80,26
289,FT 201,7
290,FT 82,2
290,FT 80,3
290,FT 201,1
290,FT 80,1
290,FT 203,2
290,FT 82,10
290,FT 203,2
290,FT 82,4
291,FT 80,5
292,FT 82,12
292,FT 80,2
293,FT 203,2
293,FT 82,10
294,FT 203,2
294,FT 201,1
295,FT 80,2
295,FT 82,7
296,FT 80,2
296,FT 203,4
297,FT 203,8
297,FT 201,3
298,FT 82,10
298,FT 80,3
298,FT 82,25
298,FT 203,21
298,FT 82,36
299,FT 203,14
299,FT 82,2
299,FT 203,8
299,FT 82,12
299,FT 201,1
299,FT 80,2
299,FT 80,2
299,FT 203,4
300,FT 80,5
300,FT 82,9
301,FT 80,2
301,FT 201,1
302,FT 82,10
302,FT 201,1
303,FT 80,2
304,FT 82,6
305,FT 203,2
305,FT 80,5
305,FT 82,10
305,FT 80,1
306,FT 82,12
306,FT 203,1
307,FT 201,2
307,FT 82,34
307,FT 203,20
307,FT 80,5
307,FT 80,2
307,FT 82,8
308,FT 203,3
308,FT 201,1
308,FT 82,10
308,FT 201,1
308,FT 203,4
308,FT 80,7
308,FT 80,6
308,FT 201,5
308,FT 82,8
308,FT 203,6
308,FT 82,2
308,FT 201,2
308,FT 183,1
308,FT 63,1
308,FT 80,7
309,FT 82,48
309,FT 80,4
310,FT 203,25
310,FT 201,5
310,FT 80,3
310,FT 201,2
311,FT 82,71
311,FT 80,4
311,FT 203,1
311,FT 201,1
312,FT 82,21
312,FT 203,2
312,FT 201,1
312,FT 82,4
312,FT 80,3
313,FT 80,6
313,FT 203,29
313,FT 80,4
313,FT 82,60
314,FT 80,10
315,FT 82,48
315,FT 201,4
316,FT 82,6
316,FT 201,2
316,FT 203,1
316,FT 80,7
316,FT 201,1
316,FT 203,34
317,FT 80,5
317,FT 82,43
318,FT 203,3
318,FT 82,35
318,FT 80,6
318,FT 201,1
319,FT 201,1
319,FT 80,2
320,FT 203,1
320,FT 82,2
320,FT 80,2
320,FT 203,7
320,FT 82,15
320,FT 82,10
320,FT 203,6
321,FT 80,4
321,FT 82,19
322,FT 80,5
323,FT 203,2
323,FT 82,27
324,FT 203,4
325,FT 80,3
325,FT 201,1
325,FT 82,6
325,FT 80,6
325,FT 203,1
325,FT 82,57
326,FT 80,3
326,FT 80,8
327,FT 203,6
327,FT 82,56
327,FT 82,2
327,FT 80,2
327,FT 203,1
327,FT 82,14
327,FT 80,3
328,FT 203,2
328,FT 201,11
329,FT 80,58
329,FT 82,13
329,FT 73,1
329,FT 195,2
330,FT 133,1
330,FT 132,1
330,FT 217,1
331,FT 218,2
331,FT 133,2
332,FT 73,1
332,FT 195,1
332,FT 232,1
332,FT 227,1
333,FT 312,1
333,FT 307,1
333,FT 312,1
334,FT 232,1
334,FT 228,2
335,FT 312,1
335,FT 308,2
335,FT 232,1
336,FT 310,2
336,FT 230,2
336,FT 73,10
336,FT 195,7
336,FT 73,9
337,FT 195,6
337,FT 73,13
338,FT 109,6
338,FT 195,8
338,FT 73,35
339,FT 195,29
339,FT 109,3
340,FT 73,24
340,FT 195,25
341,FT 195,3
341,FT 73,7
341,FT 109,1
341,FT 73,19
341,FT 195,14
341,FT 195,1
342,FT 73,3
342,FT 195,2
342,FT 73,1
342,FT 68,1
342,FT 195,2
342,FT 73,2
342,FT 195,3
343,FT 73,3
343,FT 42,2
343,FT 73,1
343,FT 195,1
344,FT 157,2
344,FT 195,1
344,FT 73,1
344,FT 195,1
344,FT 73,2
344,FT 73,5
345,FT 195,4
345,FT 134,1
346,FT 219,1
346,FT 195,14
346,FT 73,11
346,FT 73,13
347,FT 195,8
347,FT 195,5
347,FT 73,4
347,FT 195,10
348,FT 73,9
348,FT 219,1
349,FT 195,4
349,FT 73,2
350,FT 134,1
350,FT 73,1
350,FT 195,2
350,FT 42,1
351,FT 73,1
351,FT 73,1
352,FT 195,1
352,FT 195,3
352,FT 73,8
352,FT 157,1
352,FT 195,2
352,FT 73,4
353,FT 73,1
353,FT 42,1
354,FT 157,1
354,FT 195,5
354,FT 73,5
354,FT 73,2
355,FT 42,2
355,FT 73,2
355,FT 73,5
355,FT 195,2
355,FT 195,2
356,FT 73,6
356,FT 157,1
357,FT 195,6
357,FT 73,1
357,FT 73,5
358,FT 195,1
358,FT 73,4
359,FT 73,7
360,FT 73,2
360,FT 195,1
360,FT 73,2
360,FT 195,3
361,FT 73,6
361,FT 157,5
361,FT 73,2
361,FT 42,5
362,FT 195,1
362,FT 73,1
363,FT 42,1
363,FT 157,1
364,FT 42,3
364,FT 157,3
365,FT 134,1
365,FT 219,1
365,FT 196,2
365,FT 74,1
366,FT 196,2
366,FT 133,1
367,FT 219,1
367,FT 74,2
368,FT 132,1
368,FT 134,1
369,FT 74,9
369,FT 196,9
369,FT 196,6
369,FT 132,1
370,FT 74,6
370,FT 217,1
371,FT 74,7
371,FT 196,7
371,FT 74,1
371,FT 74,4
372,FT 196,4
372,FT 196,6
373,FT 74,5
373,FT 74,6
374,FT 196,6
374,FT 74,2
374,FT 196,2
374,FT 74,2
374,FT 74,1
374,FT 196,1
375,FT 133,1
375,FT 74,3
376,FT 196,3
376,FT 132,1
376,FT 217,1
376,FT 218,1
376,FT 133,1
376,FT 196,1
377,FT 172,1
377,FT 56,1
378,FT 134,1
378,FT 219,1
379,FT 178,1
379,FT 68,1
379,FT 80,5
379,FT 201,3
379,FT 201,4
379,FT 80,4
379,FT 68,1
379,FT 80,1
379,FT 80,2
379,FT 134,1
379,FT 201,3
379,FT 219,1
379,FT 201,1
379,FT 201,2
379,FT 273,2
380,FT 345,1
380,FT 68,2
380,FT 179,2
380,FT 345,1
380,FT 68,2
380,FT 170,8
381,FT 179,2
381,FT 273,2
382,FT 222,2
382,FT 304,2
382,FT 54,8
382,FT 306,1
383,FT 223,1
383,FT 246,2
384,FT 170,1
384,FT 179,6
385,FT 326,1
385,FT 68,7
386,FT 54,2
386,FT 246,1
386,FT 170,2
387,FT 54,2
387,FT 273,1
387,FT 170,1
387,FT 68,1
387,FT 273,2
387,FT 179,5
387,FT 345,2
388,FT 68,7
388,FT 54,5
388,FT 170,5
388,FT 273,3
388,FT 345,2
388,FT 68,4
389,FT 179,2
389,FT 68,1
389,FT 170,1
389,FT 170,3
390,FT 54,2
390,FT 273,2
391,FT 134,1
391,FT 219,1
391,FT 273,2
391,FT 68,2
392,FT 179,1
392,FT 54,2
392,FT 68,2
392,FT 273,2
392,FT 273,2
392,FT 68,3
393,FT 54,2
393,FT 87,3
394,FT 209,5
395,FT 345,3
395,FT 273,2
396,FT 345,3
396,FT 273,3
397,FT 170,2
397,FT 68,1
398,FT 273,2
398,FT 170,4
399,FT 54,4
399,FT 170,1
400,FT 273,1
400,FT 54,1
401,FT 345,1
401,FT 273,1
401,FT 54,2
401,FT 170,2
402,FT 68,1
402,FT 273,1
403,FT 170,13
403,FT 54,13
403,FT 68,6
404,FT 54,9
404,FT 170,13
405,FT 273,1
405,FT 179,1
406,FT 68,1
407,FT 345,1
407,FT 54,30
407,FT 345,7
408,FT 68,44
408,FT 170,3
409,FT 179,4
409,FT 273,1
409,FT 345,3
409,FT 68,4
410,FT 54,10
410,FT 179,3
410,FT 68,3
410,FT 345,2
410,FT 273,2
411,FT 179,2
411,FT 68,2
412,FT 345,2
412,FT 170,6
413,FT 54,9
413,FT 54,15
413,FT 170,10
413,FT 170,6
414,FT 54,6
414,FT 54,3
414,FT 170,3
415,FT 54,4
415,FT 170,4
415,FT 54,4
415,FT 170,3
415,FT 113,1
415,FT 54,1
416,FT 26,1
417,FT 170,1
417,FT 209,5
418,FT 87,6
419,FT 54,5
419,FT 170,5
419,FT 54,6
419,FT 170,5
420,FT 54,1
420,FT 170,2
420,FT 54,2
420,FT 219,1
421,FT 134,1
421,FT 170,1
421,FT 170,3
421,FT 54,1
421,FT 68,2
422,FT 170,4
422,FT 54,6
423,FT 54,9
423,FT 170,8
423,FT 54,1
423,FT 170,1
423,FT 54,5
423,FT 170,3
424,FT 170,1
424,FT 54,4
425,FT 54,10
425,FT 170,10
426,FT 54,5
426,FT 170,1
426,FT 54,2
426,FT 54,6
426,FT 170,1
427,FT 54,3
427,FT 170,2
428,FT 54,5
428,FT 170,6
428,FT 170,5
428,FT 54,9
428,FT 54,7
429,FT 170,2
429,FT 54,81
430,FT 20,1
430,FT 103,13
430,FT 170,53
430,FT 170,16
431,FT 103,8
431,FT 54,39
432,FT 103,16
432,FT 54,38
433,FT 170,12
433,FT 170,13
434,FT 103,9
434,FT 54,26
435,FT 54,3
435,FT 170,1
436,FT 54,1
436,FT 68,1
437,FT 170,3
437,FT 54,2
438,FT 54,1
438,FT 54,2
438,FT 170,3
438,FT 54,2
438,FT 54,1
439,FT 170,1
439,FT 54,1
440,FT 182,1
440,FT 62,1
441,FT 182,1
441,FT 155,10
441,FT 219,1
441,FT 134,1
441,FT 170,2
441,FT 68,1
441,FT 54,1
442,FT 170,5
442,FT 280,1
442,FT 54,1
442,FT 170,1
442,FT 68,1
443,FT 170,1
443,FT 54,1
444,FT 170,6
444,FT 54,4
445,FT 54,1
445,FT 280,1
446,FT 54,1
446,FT 170,2
446,FT 170,2
446,FT 54,3
446,FT 170,1
446,FT 170,7
447,FT 86,1
447,FT 62,1
448,FT 54,6
448,FT 182,1
448,FT 207,1
448,FT 170,18
448,FT 54,25
448,FT 170,10
448,FT 54,11
449,FT 155,10
449,FT 207,1
449,FT 170,2
449,FT 182,1
450,FT 170,2
450,FT 54,2
450,FT 54,1
450,FT 54,4
451,FT 170,4
451,FT 54,10
451,FT 170,12
451,FT 54,6
452,FT 170,6
452,FT 87,1
452,FT 54,3
453,FT 170,2
453,FT 54,2
453,FT 54,2
453,FT 170,3
453,FT 280,1
453,FT 87,1
454,FT 80,2
454,FT 71,1
455,FT 193,2
455,FT 201,6
455,FT 80,7
455,FT 80,4
455,FT 201,3
455,FT 80,16
456,FT 201,10
456,FT 80,2
457,FT 201,3
457,FT 80,18
458,FT 201,18
459,FT 80,8
459,FT 201,6
459,FT 71,3
459,FT 193,3
459,FT 193,1
459,FT 71,2
460,FT 201,1
460,FT 80,1
461,FT 201,3
461,FT 80,6
461,FT 71,1
461,FT 80,7
461,FT 201,7
461,FT 193,1
462,FT 80,2
462,FT 201,4
463,FT 80,1
463,FT 201,2
464,FT 201,1
464,FT 80,4
465,FT 80,3
465,FT 201,1
465,FT 193,4
466,FT 71,3
466,FT 134,1
467,FT 219,1
467,FT 80,3
468,FT 193,3
468,FT 201,2
468,FT 71,3
468,FT 76,5
468,FT 198,7
468,FT 193,6
468,FT 80,3
468,FT 71,6
468,FT 201,3
469,FT 201,4
469,FT 80,6
469,FT 76,13
469,FT 198,16
469,FT 193,2
469,FT 71,2
469,FT 137,1
470,FT 201,1
470,FT 2,1
471,FT 80,2
471,FT 201,4
472,FT 80,7
472,FT 80,1
473,FT 201,1
473,FT 80,2
473,FT 201,2
474,FT 71,2
474,FT 201,18
475,FT 80,9
475,FT 193,1
475,FT 80,7
476,FT 201,5
476,FT 71,4
476,FT 201,5
476,FT 193,3
476,FT 80,9
476,FT 193,4
476,FT 71,2
476,FT 80,3
477,FT 80,6
477,FT 201,2
478,FT 201,2
478,FT 80,5
478,FT 80,4
478,FT 80,18
478,FT 80,10
479,FT 201,7
479,FT 76,1
479,FT 80,6
479,FT 198,2
480,FT 201,5
480,FT 76,1
480,FT 198,2
480,FT 76,1
481,FT 201,1
481,FT 80,2
481,FT 80,2
482,FT 201,1
482,FT 71,2
482,FT 71,1
482,FT 71,1
483,FT 193,1
483,FT 71,2
483,FT 80,5
483,FT 201,4
484,FT 201,2
485,FT 71,3
485,FT 193,2
485,FT 80,5
485,FT 80,11
485,FT 201,6
485,FT 80,3
486,FT 201,3
486,FT 201,6
486,FT 80,10
486,FT 80,1
487,FT 80,6
487,FT 80,1
488,FT 71,2
489,FT 193,4
490,FT 71,1
490,FT 80,1
490,FT 76,1
490,FT 71,1
490,FT 201,1
491,FT 80,4
491,FT 201,2
492,FT 80,3
492,FT 80,2
492,FT 201,1
492,FT 201,1
493,FT 193,2
493,FT 80,3
493,FT 71,2
493,FT 80,3
493,FT 201,17
493,FT 80,13
494,FT 201,3
494,FT 80,4
494,FT 193,5
494,FT 71,2
494,FT 80,3
494,FT 201,4
495,FT 193,1
495,FT 71,2
496,FT 193,2
496,FT 71,2
496,FT 193,5
496,FT 68,1
496,FT 80,3
496,FT 80,1
496,FT 201,3
497,FT 80,3
497,FT 71,1
497,FT 80,1
497,FT 201,1
497,FT 68,7
497,FT 80,1
498,FT 68,4
498,FT 68,4
499,FT 82,30
499,FT 203,19
499,FT 56,4
500,FT 172,6
500,FT 82,17
501,FT 203,5
501,FT 80,6
502,FT 82,12
502,FT 82,25
503,FT 203,7
503,FT 203,7
504,FT 82,14
504,FT 82,12
504,FT 203,10
504,FT 82,20
505,FT 203,9
505,FT 82,40
506,FT 203,4
507,FT 201,1
507,FT 82,10
507,FT 203,4
507,FT 80,2
507,FT 68,1
508,FT 203,1
508,FT 80,6
509,FT 82,37
509,FT 201,2
510,FT 82,12
510,FT 203,4
511,FT 82,6
511,FT 201,2
511,FT 80,1
511,FT 203,2
511,FT 203,3
511,FT 82,10
512,FT 172,1
512,FT 82,4
513,FT 201,2
